UnitID,Institution Name,Total price for in-district students living on campus  2024-25 (DRVCOST2024),Total price for in-state students living on campus 2024-25 (DRVCOST2024),Total price for in-district students living off campus (not with family)  2024-25 (DRVCOST2024),Total price for in-state students living off campus (not with family)  2024-25 (DRVCOST2024),Total price for in-district students living off campus (with family)  2024-25 (DRVCOST2024),Total price for in-state students living off campus (with family)  2024-25 (DRVCOST2024),State abbreviation (HD2024),
212294,Empire Beauty School-Shamokin Dam,,,,,,,PA,
458830,Empire Beauty School-Springfield,,,,,,,PA,
444307,Empire Beauty School-West Mifflin,,,,,,,PA,
212355,Empire Beauty School-Wyoming Valley,,,,,,,PA,
212267,Empire Beauty School-York,,,,,,,PA,
212434,Erie Institute of Technology Inc,,,53591,53591,38894,38894,PA,
491598,European Medical School of Massage,,,,,,,PA,
493813,Falcon Institute of Health and Science,,,,,,,PA,
248624,Fayette County Career & Technical Institute Practical Nursing Program,,,,,,,PA,
249609,Fortis Institute-Forty Fort,,,35939,35939,27612,27612,PA,
385503,Fortis Institute-Scranton,,,34293,34293,30968,30968,PA,
485236,Fountain of Youth Academy of Cosmetology,,,,,,,PA,
212577,Franklin and Marshall College,89132,89132,89132,89132,78844,78844,PA,
248633,Franklin County Career and Technology Center,,,,,,,PA,
212601,Gannon University,60812,60812,60812,60812,48746,48746,PA,
456542,Geisinger Commonwealth School of Medicine,,,40350,40350,40552,40552,PA,
212656,Geneva College,47580,47580,40250,40250,36250,36250,PA,
212674,Gettysburg College,86450,86450,86450,86450,70640,70640,PA,
212771,Gratz College,,,,,,,PA,
213181,Great Lakes Institute of Technology,,,,,,,PA,
383367,Greater Altoona Career & Technology Center,,,,,,,PA,
418454,Greater Johnstown Career and Technology Center,,,,,,,PA,
260363,Greene County Career and Technology Center,,,,,,,PA,
212805,Grove City College,35830,35830,35830,35830,35830,35830,PA,
212832,Gwynedd Mercy University,60474,60474,64760,64760,50216,50216,PA,
212869,Harcum College,48148,48148,45458,45458,42598,42598,PA,
212878,Harrisburg Area Community College,,,26028,28548,19264,21784,PA,
446640,Harrisburg University of Science and Technology,39506,39506,39506,39506,34206,34206,PA,
212911,Haverford College,93406,93406,93406,93406,83188,83188,PA,
418612,Hazleton Area Career Center,,,,,,,PA,
493585,Health and Technology Training Institute,,,,,,,PA,
214476,Heritage Valley Health System School of Nursing,,,33300,33300,25050,25050,PA,
212984,Holy Family University,52964,52964,50008,50008,44096,44096,PA,
213011,Immaculata University,46764,46764,46764,46764,36614,36614,PA,
418560,Indiana County Technology Center,,,,,,,PA,
213020,Indiana University of Pennsylvania-Main Campus,27846,27846,27392,27392,20180,20180,PA,
461218,Institute of Medical Careers,,,,,,,PA,
448691,International Institute for Restorative Practices,,,,,,,PA,
414540,Jean Madeline Aveda Institute,,,,,,,PA,
418445,Jefferson County Dubois Area Vocational Technical Practical Nursing Program,,,,,,,PA,
419341,Jna Institute of Culinary Arts,,,36404,36404,25766,25766,PA,
213233,Johnson College,,,43163,43163,41508,41508,PA,
215479,Joseph F McCloskey School of Nursing,,,,,,,PA,
213251,Juniata College,74930,74930,74930,74930,63830,63830,PA,
213303,Keystone College,34180,34180,28580,28580,21580,21580,PA,
213321,King's College,63712,63712,64176,64176,54138,54138,PA,
213349,Kutztown University of Pennsylvania,30598,30598,29932,29932,25154,25154,PA,
213358,La Roche University,56878,56878,53028,53028,45468,45468,PA,
213367,La Salle University,57960,57960,57950,57950,43800,43800,PA,
213376,Lackawanna College,34620,34620,30738,30738,25656,25656,PA,
213385,Lafayette College,87414,87414,87414,87414,75382,75382,PA,
407629,Lake Erie College of Osteopathic Medicine,,,,,,,PA,
213400,Lancaster Bible College,46540,46540,47409,47409,40839,40839,PA,
418533,Lancaster County Career and Technology Center,,,,,,,PA,
213455,Lancaster School of Cosmetology & Therapeutic Bodywork,,,,,,,PA,
213446,Lancaster Theological Seminary,,,,,,,PA,
213473,Lansdale School of Business,,,38870,38870,23085,23085,PA,
213491,Lansdale School of Cosmetology Inc,,,,,,,PA,
250027,Laurel Business Institute,,,19746,19746,16786,16786,PA,
215992,Laurel Technical Institute,,,19275,19275,16315,16315,PA,
418542,Lebanon County Area Vocational Technical School,,,,,,,PA,
213507,Lebanon Valley College,72524,72524,72254,72254,59348,59348,PA,
213525,Lehigh Carbon Community College,,,27080,31100,19680,23700,PA,
498739,Lehigh Career & Technical Institute,,,,,,,PA,
213543,Lehigh University,84700,84700,84700,84700,70390,70390,PA,
491677,Lehigh Valley Barber School,,,,,,,PA,
