"Sector","College","Type","County","zip code","Address","Latitude","Longitude","Georeferenced Latitude & Longitude","Sector and Type"
"Community College","Delaware CC- Brandywine","Off-Campus Operation","Chester","19335","443-455 Boot Road, Downingtown, PA 19335","40.0058879","-75.6818551","POINT (-75.6818551 40.0058879)","Community College - Off-Campus"
"State-Related Commonwealth University","Penn State Fayette","Branch Campus","Fayette","15456","2201 University Dr, Lemont Furnace, PA 15456","39.94608994","-79.66074243","POINT (-79.66074243 39.94608994)","State-Related Commonwealth University - Branch Campus"
"Private College/University","Geisinger Commonwealth School of Medicine","Main Campus Location","Lackawanna","18509","521 Pine St, Scranton, PA 18509","41.4137892","-75.6568546","POINT (-75.6568546 41.4137892)","Private College/University - Main Campus"
"PASSHE","Pennsylvania Western University-California","Main Campus Location","Washington","15419","250 University Ave, California, PA 15419","40.0644315","-79.8843981","POINT (-79.8843981 40.0644315)","PASSHE - Main Campus"
"Private College/University","Cairn University","Main Campus Location","Bucks","19047","200 Manor Ave, Langhorne, PA 19047","40.163307","-74.909338","POINT (-74.909338 40.163307)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn College of Technology","Main Campus Location","Lycoming","17701","1 College Ave, Williamsport, PA 17701","41.233747","-77.022628","POINT (-77.022628 41.233747)","State-Related Commonwealth University - Main Campus"
"State-Related Commonwealth University","Penn State York","Branch Campus","York","17403","1031 Edgecomb Ave, York, PA 17403","39.9519705","-76.7037591","POINT (-76.7037591 39.9519705)","State-Related Commonwealth University - Branch Campus"
"Private College/University","Saint Francis University","Main Campus Location","Cambria","15940","132 Franciscan Way, Loretto, PA 15940","40.503084","-78.637101","POINT (-78.637101 40.503084)","Private College/University - Main Campus"
"Community College","CCAC-Braddock Hills","Off-Campus Operation","Allegheny","15221","250 Yost Boulevard, Braddock Hills, PA 15221","40.4141303","-79.850482","POINT (-79.850482 40.4141303)","Community College - Off-Campus"
"Private College/University","Curtis Institute of Music","Main Campus Location","Philadelphia","19103","1726 Locust St, Philadelphia, PA 19103","39.9488069","-75.1706054","POINT (-75.1706054 39.9488069)","Private College/University - Main Campus"
"Private College/University","Elizabethtown College","Main Campus Location","Lancaster","17022","1 Alpha Dr, Elizabethtown, PA 17022","40.1508131","-76.5906583","POINT (-76.5906583 40.1508131)","Private College/University - Main Campus"
"PASSHE","Millersville University of PA","Main Campus Location","Lancaster","17551","40 Dilworth Rd, Millersville, PA 17551","40.0003077","-76.3570509","POINT (-76.3570509 40.0003077)","PASSHE - Main Campus"
"Private College/University","Thiel College","Main Campus Location","Mercer","16125","75 College Ave, Greenville, PA 16125","41.4083844","-80.3841091","POINT (-80.3841091 41.4083844)","Private College/University - Main Campus"
